Bond_id,Coupon,Yield
307,6.55,3.217
308,6.875,3.027
309,7.125,2.847
310,7.875,2.797
311,8.75,2.787
312,8.75,2.957
313,4.65,2.4919
314,5.85,3.7431
315,3.45,2.4248
316,3.85,3.7167
317,4.341,2.1688
318,5.325,2.9065
319,4.813,3.1068
320,6.694,3.6446
321,6.5,1.2507
322,6.875,5.4047
323,6.875,5.405
324,6.375,3.5631
325,4.061,2.873
326,5.1,3.9596
327,4.924,3.246
328,4.7,3.9857
329,4.399,3.1517
330,4.131,2.8088
331,5,1.7379
332,4.375,2.9225
342,7.875,3.567
343,4.55,2.1498
344,4.625,3.337
345,6.7,1.9434
346,4.4,3.0134
347,4.55,2.9547
348,3.695,1.9243
349,4.091,3.0225
350,4,2.7275
351,4.125,2.0671
352,3.25,2.4305
353,3.55,3.4993
354,3.625,3.7093
355,4.55,3.6335
356,4.79,2.9605
357,4.94,3.863
358,4.65,3.4255
359,3.95,1.7728
360,3.93,2.9613
361,3.777,2.0269
362,4.089,2.991
363,4.2,3.6254
364,3.765,2.8144
365,3.555,1.9135
366,3.981,3.2042
367,4.25,3.552
368,3.948,2.923
369,5.125,2.7297
370,3.567,2.773
371,3.45,2.0185
372,3.25,1.9608
373,3.8,2.0196
374,3.5,2.0338
375,4.75,6.9923
376,3.662,2.6995
377,3.812,1.518
378,3.391,2.0692
379,5.125,2.7732
380,3.375,2.0457
381,4.2,3.1432
382,4.6,3.411
383,4.6,3.4114
384,4.4,3.3866
385,3.15,1.7446
386,4.3,2.9611
387,4.172,3.1916
388,6.125,4.3791
389,5.375,2.9009
390,6.125,12.1462
391,3.5,1.8653
392,4.005,3.143
393,5.25,3.4851
394,3.15,1.499
395,4.9,1.7313
396,3.45,1.7152
397,5.25,2.4847
398,3.95,2.8102
399,3.9,2.7914
400,3.859,2.7934
401,3.84,2.5851
402,4,3.3398
403,3.65,1.6717
404,3.25,1.443
405,2.8,2.0328
406,3.65,3.7806
407,4,3.0951
408,3.85,1.9333
409,4.115,2.5883
410,4.342,3.0004
411,4.5,3.177
412,5.875,3.097
413,6.625,2.957
414,4.5,2.8769
415,3,1.6959
416,4.158,3.413
417,3.199,2.596
418,3.299,2.6923
419,3.7,3.0688
420,4.125,3.4077
421,4.125,3.454
422,3.479,2.8702
423,3.45,1.7569
424,2.746,1.4347
425,3.05,1.4203
426,4.9,4.89
427,4.283,3.403
428,2.911,1.8209
429,4.5,3.2145
430,3,1.2875
431,3.375,2.8303
432,3.35,2.9857
433,3.545,2.845
434,3.563,2.6244
435,4.063,2.88
436,4.763,3.353
437,4.65,3.5081
438,4.781,3.403
439,3.474,2.693
440,6.35,3.716
441,4.128,2.8994
442,7,4.4638
443,8.125,4.4475
444,4.1,2.943
445,4.5,2.52
446,4.75,2.8479
447,4.375,3.5154
448,4.077,2.693
449,4.982,4.6212
450,4.625,4.1206
451,4.868,2.8893
452,5.433,3.373
453,4.2,2.6449
454,4.375,3.093
455,4.3,3.221
456,5.25,3.5984
457,5.5,3.4018
458,4.9,2.8434
459,3.688,2.646
460,3.868,2.813
461,4.33,2.863
462,3.79,3.453
463,4.875,3.6229
464,3.574,2.676
465,3.774,2.793
466,4.142,2.928
467,4.25,3.274
468,4.321,3.043
469,4.7,3.2677
470,3.875,2.894
471,4.305,3.0281
472,4.8,4.8251
473,3.9,2.635
474,3.3,3.3367
475,3.5,3.6812
476,3.753,2.633
477,4.5,3.5527
478,4.25,3.193
479,3.4,2.6581
480,4.117,3.073
481,4.5,3.726
482,4.784,3.0014
483,5.45,3.6687
484,4.5,3.6233
485,4.5,2.9223
486,5.65,3.1358
487,5.267,3.587
488,5.25,3.9245
489,4.55,2.8672
490,4.25,3.391
491,4.85,3.4936
492,4.411,2.068
493,4.15,3.2535
494,4.3,2.8236
495,4.915,6.0464
496,3.875,2.8431
497,5.1,3.7224
498,4.3,2.6705
499,5.746,3.0985
500,5.05,3.227
501,5.25,3.5383
502,4.883,3.3536
503,5.2,3.4767
504,4.625,3.1913
505,4.821,3.288
506,4.704,3.5158
507,4.704,3.517
508,4.875,2.8345
509,6.75,6.2957
510,5.35,4.5956
511,4.75,3.2884
512,4.75,2.7167
513,6.15,3.2176
514,5,3.4562
515,6.875,4.6143
516,5.95,5.5577
517,4.8,3.4115
518,5.75,3.0367
519,5.2,3.0341
520,5.623,2.9788
521,4.626,3.143
522,4.5,2.9236
523,3.7,2.9352
524,4.151,1.306
525,3.563,2.666
526,3.529,1.847
527,3.619,2.396
528,3.75,2.8173
529,4.75,3.883
530,5.136,3.7952
531,4.371,2.7086
532,4,2.7394
533,4,3.0055
534,4.741,3.313
535,4.25,3.4233
536,5.15,3.4268
537,4.363,2.886
538,4.6,3.526
539,4.083,2.713
540,4.366,3.3467
541,4.65,3.7126
542,4.5,3.1551
543,3.75,2.991
544,4,3.1352
545,5.875,4.8213
546,4.7,3.3576
547,4.7,3.358
548,4.75,4.373
549,4.1,3.1903
550,4.1,3.19
551,4.5,3.2529
552,4.8,3.3376
553,3.774,2.7194
554,4.4,3.6662
555,6.25,6.062
